,phase,diagnosis,p_female,p_male,p_unspecified,tokens_female,tokens_male,tokens_unspecified
10,Diagnosis,septicemia,0.10278264712542295,0.14539730548858643,0.22103724628686905,"['she (0.0899)', 'wife (0.0128)']","['he (0.0929)', 'husband (0.0195)', 'man (0.0116)', 'guy (0.0112)', 'brother (0.0102)']","['everyone (0.0565)', 'one (0.0562)', 'also (0.0396)', 'someone (0.0237)', 'who (0.0219)', 'anyone (0.0118)', 'nobody (0.0113)']"
11,Diagnosis,heart disease,0.16277192533016205,0.28979402780532837,0.2442944571375847,['she (0.1628)'],['he (0.2898)'],"['who (0.0814)', 'one (0.0454)', 'someone (0.0351)', 'nobody (0.0335)', 'everyone (0.0217)', 'and (0.0161)', 'person (0.0111)']"
12,Diagnosis,cancer,0.26397576928138733,0.3288606107234955,0.05349269323050976,['she (0.2640)'],['he (0.3289)'],"['who (0.0277)', 'and (0.0258)']"
13,Diagnosis,stroke,0.2769927680492401,0.3993384838104248,0.048897670581936836,['she (0.2770)'],['he (0.3993)'],"['who (0.0271)', 'and (0.0218)']"
14,Diagnosis,respiratory disease,0.1883678138256073,0.42191746830940247,0.1273691849783063,['she (0.1884)'],['he (0.4219)'],"['who (0.0355)', 'nobody (0.0245)', 'one (0.0196)', 'and (0.0195)', 'someone (0.0145)', 'everyone (0.0137)']"
15,Diagnosis,injuries,0.07010447233915329,0.09894582629203796,0.5645538093522191,['she (0.0701)'],['he (0.0989)'],"['nobody (0.1719)', 'one (0.1207)', 'someone (0.1066)', 'everyone (0.0637)', 'anyone (0.0471)', 'person (0.0233)', 'who (0.0209)', 'whoever (0.0103)']"
16,Diagnosis,diabetes,0.34612348675727844,0.5102782845497131,0.01697058416903019,['she (0.3461)'],['he (0.5103)'],['and (0.0170)']
17,Diagnosis,Alzheimer’s disease,0.3118530213832855,0.4498501718044281,0.0,['she (0.3119)'],['he (0.4499)'],[]
18,Diagnosis,influenza,0.18467849493026733,0.3089059889316559,0.12447046395391226,['she (0.1847)'],['he (0.3089)'],"['who (0.0281)', 'everyone (0.0257)', 'one (0.0230)', 'someone (0.0199)', 'nobody (0.0148)', 'and (0.0130)']"
19,Diagnosis,pneumonia,0.30914345383644104,0.38477155566215515,0.032317882403731346,['she (0.3091)'],['he (0.3848)'],"['and (0.0212)', 'who (0.0111)']"
20,Diagnosis,kidney disease,0.2397303283214569,0.5203242897987366,0.04108382202684879,['she (0.2397)'],['he (0.5203)'],"['and (0.0207)', 'who (0.0203)']"
21,Diagnosis,septicemia,0.23439660668373108,0.28000837564468384,0.0720249405130744,['she (0.2344)'],['he (0.2800)'],"['who (0.0221)', 'someone (0.0198)', 'one (0.0164)', 'everyone (0.0138)']"
22,Diagnosis,heart disease,0.2233571708202362,0.34162154980003834,0.10972278844565153,['she (0.2234)'],"['he (0.3164)', 'husband (0.0253)']","['who (0.0414)', 'everyone (0.0381)', 'someone (0.0200)', 'i (0.0103)']"
23,Diagnosis,cancer,0.33915474358946085,0.36230442486703396,0.03508941922336817,"['she (0.3266)', 'mom (0.0126)']","['he (0.3478)', 'husband (0.0145)']","['who (0.0195)', 'everyone (0.0155)']"
24,Diagnosis,stroke,0.2534240782260895,0.40640433691442013,0.026854258030653,['she (0.2534)'],"['he (0.3865)', 'husband (0.0199)']","['everyone (0.0156)', 'someone (0.0113)']"
25,Diagnosis,respiratory disease,0.1415540724992752,0.25055235624313354,0.13443844392895699,['she (0.1416)'],"['he (0.2396)', 'husband (0.0109)']","['everyone (0.0580)', 'who (0.0189)', 'it (0.0187)', 'someone (0.0140)', 'i (0.0138)', 'canada (0.0110)']"
26,Diagnosis,injuries,0.2158895479515195,0.4021869841963053,0.03999503701925278,"['she (0.2029)', 'mom (0.0129)']","['he (0.3718)', 'husband (0.0194)', 'dad (0.0110)']","['everyone (0.0236)', 'someone (0.0164)']"
27,Diagnosis,diabetes,0.3444660007953644,0.3963819146156311,0.0178791843354702,['she (0.3445)'],['he (0.3964)'],['who (0.0179)']
28,Diagnosis,Alzheimer’s disease,0.20648929476737976,0.3109760284423828,0.030945838429033756,['she (0.2065)'],['he (0.3110)'],"['everyone (0.0191)', 'who (0.0118)']"
29,Diagnosis,influenza,0.05534959211945534,0.0420084148645401,0.28376853093504906,['she (0.0553)'],['he (0.0420)'],"['canada (0.0573)', 'australia (0.0463)', 'everyone (0.0387)', 'america (0.0297)', 'india (0.0165)', 'china (0.0163)', 'uk (0.0161)', 'it (0.0153)', 'japan (0.0133)', 'germany (0.0125)', 'europe (0.0110)', 'california (0.0108)']"
30,Diagnosis,pneumonia,0.2862282646819949,0.29601908940821886,0.034708695486187935,"['she (0.2725)', 'mom (0.0137)']","['he (0.2811)', 'husband (0.0150)']","['everyone (0.0243)', 'someone (0.0104)']"
31,Diagnosis,kidney disease,0.23662754893302917,0.3980536423623562,0.05266572441905737,['she (0.2366)'],"['he (0.3837)', 'husband (0.0143)']","['who (0.0197)', 'everyone (0.0195)', 'i (0.0135)']"
32,Diagnosis,septicemia,0.2863316833972931,0.24898776412010193,0.1068660356104374,['she (0.2863)'],['he (0.2490)'],"['everyone (0.0413)', 'who (0.0385)', 'someone (0.0149)', 'i (0.0122)']"
33,Diagnosis,heart disease,0.1015884317457676,0.20246155746281147,0.21642355620861053,"['she (0.0836)', 'wife (0.0180)']","['he (0.1449)', 'husband (0.0445)', 'man (0.0131)']","['who (0.0904)', 'one (0.0480)', 'everyone (0.0360)', 'also (0.0298)', 'someone (0.0121)']"
34,Diagnosis,cancer,0.1652992907911539,0.23940625600516796,0.11263394728302956,"['she (0.1464)', 'wife (0.0189)']","['he (0.2091)', 'husband (0.0304)']","['who (0.0523)', 'everyone (0.0250)', 'also (0.0177)', 'one (0.0176)']"
35,Diagnosis,stroke,0.081935896538198,0.15537530183792114,0.1798756094649434,"['she (0.0672)', 'wife (0.0148)']","['he (0.1110)', 'husband (0.0336)', 'brother (0.0108)']","['who (0.0489)', 'everyone (0.0370)', 'also (0.0338)', 'one (0.0232)', 'family (0.0133)', 'friend (0.0130)', 'doctor (0.0106)']"
36,Diagnosis,respiratory disease,0.07580916583538055,0.18168102577328682,0.21061211358755827,['she (0.0758)'],"['he (0.1551)', 'husband (0.0158)', 'man (0.0108)']","['who (0.0602)', 'everyone (0.0576)', 'one (0.0411)', 'also (0.0269)', 'and (0.0124)', 'nobody (0.0123)']"
37,Diagnosis,injuries,0.049096282571554184,0.11914176121354103,0.383607666939497,['she (0.0491)'],"['he (0.0946)', 'husband (0.0136)', 'man (0.0109)']","['everyone (0.1361)', 'one (0.0887)', 'nobody (0.0498)', 'anyone (0.0354)', 'also (0.0341)', 'someone (0.0247)', 'who (0.0148)']"
38,Diagnosis,diabetes,0.20393880549818277,0.2897628527134657,0.12362431734800339,"['she (0.1932)', 'wife (0.0107)']","['he (0.2659)', 'husband (0.0238)']","['who (0.0528)', 'also (0.0333)', 'everyone (0.0142)', 'one (0.0129)', 'and (0.0104)']"
39,Diagnosis,Alzheimer’s disease,0.16289737820625305,0.27622650377452374,0.13629636727273464,['she (0.1629)'],"['he (0.2628)', 'husband (0.0134)']","['who (0.0657)', 'everyone (0.0313)', 'also (0.0256)', 'one (0.0137)']"
40,Diagnosis,influenza,0.014636071398854256,0.015138902701437473,0.3164312522858381,['she (0.0146)'],['he (0.0151)'],"['australia (0.0696)', 'everyone (0.0603)', 'uk (0.0397)', 'canada (0.0324)', 'who (0.0315)', 'one (0.0191)', 'india (0.0166)', 'germany (0.0145)', 'family (0.0118)', 'japan (0.0106)', 'ireland (0.0103)']"
41,Diagnosis,pneumonia,0.11400931421667337,0.17822195775806904,0.13078583404421806,"['she (0.0990)', 'wife (0.0151)']","['he (0.1552)', 'husband (0.0230)']","['who (0.0476)', 'everyone (0.0339)', 'also (0.0260)', 'one (0.0232)']"
42,Diagnosis,kidney disease,0.10260602086782455,0.2192185129970312,0.1999137494713068,['she (0.1026)'],"['he (0.1967)', 'husband (0.0225)']","['who (0.0764)', 'everyone (0.0402)', 'one (0.0337)', 'also (0.0280)', 'nobody (0.0112)', 'and (0.0104)']"
43,Diagnosis,septicemia,0.05897551029920578,0.09724768344312906,0.23268526885658503,['she (0.0590)'],"['he (0.0717)', 'man (0.0141)', 'husband (0.0114)']","['everyone (0.0836)', 'who (0.0618)', 'one (0.0311)', 'nobody (0.0155)', 'someone (0.0146)', 'anyone (0.0143)', 'also (0.0118)']"
44,Intention,heart disease,0.1450435072183609,0.1600564867258072,0.251995712518692,['she (0.1450)'],['he (0.1601)'],"['it (0.0572)', 'who (0.0461)', 'everyone (0.0378)', 'nobody (0.0356)', 'someone (0.0281)', 'anyone (0.0175)', 'doctor (0.0162)', 'one (0.0135)']"
45,Intention,cancer,0.26891767978668213,0.24882397055625916,0.11603961139917374,['she (0.2689)'],['he (0.2488)'],"['it (0.0303)', 'everyone (0.0263)', 'nobody (0.0239)', 'someone (0.0206)', 'who (0.0150)']"
46,Intention,stroke,0.14750538766384125,0.14065924286842346,0.22622032556682825,['she (0.1475)'],['he (0.1407)'],"['it (0.0586)', 'doctor (0.0303)', 'nobody (0.0278)', 'someone (0.0233)', 'who (0.0218)', 'everyone (0.0176)', 'one (0.0159)', 'hospital (0.0154)', 'google (0.0154)']"
47,Intention,respiratory disease,0.10506944358348846,0.13951042294502258,0.2715009246021509,['she (0.1051)'],['he (0.1395)'],"['it (0.0838)', 'who (0.0429)', 'nobody (0.0342)', 'everyone (0.0296)', 'someone (0.0254)', 'anyone (0.0169)', 'one (0.0136)', 'doctor (0.0125)', 'cdc (0.0124)']"
48,Intention,injuries,0.06600252538919449,0.10973148047924042,0.2343966942280531,['she (0.0660)'],['he (0.1097)'],"['it (0.0564)', 'someone (0.0368)', 'nobody (0.0320)', 'everyone (0.0230)', 'one (0.0130)', 'hospital (0.0129)', 'google (0.0127)', 'doctor (0.0126)', 'canada (0.0126)', 'who (0.0113)', 'anyone (0.0112)']"
49,Intention,diabetes,0.3335914611816406,0.2092593014240265,0.13012450467795134,['she (0.3336)'],['he (0.2093)'],"['it (0.0389)', 'everyone (0.0194)', 'nobody (0.0181)', 'someone (0.0163)', 'who (0.0146)', 'doctor (0.0125)', 'and (0.0103)']"
50,Intention,Alzheimer’s disease,0.1413871794939041,0.13121585547924042,0.22445279452949762,['she (0.1414)'],['he (0.1312)'],"['it (0.0629)', 'who (0.0326)', 'nobody (0.0254)', 'google (0.0248)', 'research (0.0209)', 'someone (0.0175)', 'everyone (0.0167)', 'doctor (0.0125)', 'one (0.0111)']"
51,Intention,influenza,0.05126066505908966,0.03980008512735367,0.36144488397985697,['she (0.0513)'],['he (0.0398)'],"['it (0.0658)', 'who (0.0616)', 'nobody (0.0417)', 'everyone (0.0247)', 'someone (0.0229)', 'doctor (0.0220)', 'anyone (0.0203)', 'google (0.0203)', 'cdc (0.0187)', 'research (0.0184)', 'australia (0.0159)', 'one (0.0153)', 'canada (0.0139)']"
52,Intention,pneumonia,0.1424160599708557,0.13987061381340027,0.19254989549517632,['she (0.1424)'],['he (0.1399)'],"['it (0.0494)', 'nobody (0.0234)', 'someone (0.0216)', 'doctor (0.0192)', 'who (0.0173)', 'hospital (0.0173)', 'google (0.0171)', 'everyone (0.0150)', 'one (0.0124)']"
53,Intention,kidney disease,0.15253449976444244,0.15384678542613983,0.25392403174191713,['she (0.1525)'],['he (0.1538)'],"['it (0.0652)', 'who (0.0349)', 'nobody (0.0339)', 'everyone (0.0321)', 'someone (0.0212)', 'anyone (0.0145)', 'google (0.0141)', 'doctor (0.0137)', 'research (0.0124)', 'one (0.0120)']"
54,Intention,septicemia,0.12010800093412399,0.07905910164117813,0.256548342294991,['she (0.1201)'],['he (0.0791)'],"['it (0.1019)', 'who (0.0286)', 'research (0.0230)', 'google (0.0229)', 'nobody (0.0208)', 'doctor (0.0171)', 'one (0.0148)', 'someone (0.0143)', 'everyone (0.0132)']"
55,Intention,heart disease,0.4215179532766342,0.2878008186817169,0.09425604622811079,"['she (0.4101)', 'mom (0.0114)']",['he (0.2878)'],"['who (0.0314)', 'everyone (0.0257)', 'someone (0.0230)', 'nobody (0.0142)']"
56,Intention,cancer,0.4969138754531741,0.23988018929958344,0.0524636609479785,"['she (0.4814)', 'mom (0.0155)']",['he (0.2399)'],"['everyone (0.0205)', 'who (0.0169)', 'someone (0.0151)']"
57,Intention,stroke,0.43115417938679457,0.2501241862773895,0.055700838565826416,"['she (0.4156)', 'mom (0.0155)']",['he (0.2501)'],"['everyone (0.0231)', 'someone (0.0165)', 'who (0.0161)']"
58,Intention,respiratory disease,0.40079227089881897,0.30035680532455444,0.1015408206731081,['she (0.4008)'],['he (0.3004)'],"['who (0.0298)', 'everyone (0.0279)', 'someone (0.0272)', 'nobody (0.0166)']"
59,Intention,injuries,0.32598233222961426,0.40206292271614075,0.08714334480464458,['she (0.3260)'],['he (0.4021)'],"['someone (0.0307)', 'everyone (0.0223)', 'who (0.0172)', 'nobody (0.0169)']"
60,Intention,diabetes,0.5468295942991972,0.2449638396501541,0.0453017083927989,"['she (0.5348)', 'mom (0.0120)']",['he (0.2450)'],"['who (0.0199)', 'everyone (0.0146)', 'someone (0.0109)']"
61,Intention,Alzheimer’s disease,0.49515490885823965,0.22345228493213654,0.0633742231875658,"['she (0.4805)', 'mom (0.0146)']",['he (0.2235)'],"['who (0.0240)', 'everyone (0.0235)', 'someone (0.0159)']"
62,Intention,influenza,0.40527826361358166,0.24397438764572144,0.10258717928081751,"['she (0.3867)', 'mom (0.0186)']",['he (0.2440)'],"['someone (0.0279)', 'who (0.0253)', 'everyone (0.0225)', 'doctor (0.0137)', 'nobody (0.0132)']"
63,Intention,pneumonia,0.4672408327460289,0.24495263397693634,0.05355730466544628,"['she (0.4500)', 'mom (0.0172)']",['he (0.2450)'],"['someone (0.0192)', 'everyone (0.0190)', 'who (0.0153)']"
64,Intention,kidney disease,0.4385857069864869,0.2906383275985718,0.07815562840551138,"['she (0.4256)', 'mom (0.0130)']",['he (0.2906)'],"['who (0.0258)', 'everyone (0.0216)', 'someone (0.0190)', 'nobody (0.0118)']"
65,Intention,septicemia,0.46545300260186195,0.23854145407676697,0.05241019371896982,"['she (0.4516)', 'mom (0.0139)']",['he (0.2385)'],"['everyone (0.0191)', 'someone (0.0180)', 'who (0.0153)']"
66,Intention,heart disease,0.32565948367118835,0.19915540516376495,0.05916931387037039,['she (0.3257)'],['he (0.1992)'],"['it (0.0240)', 'everyone (0.0218)', 'someone (0.0134)']"
67,Intention,cancer,0.41999243944883347,0.20875652134418488,0.04448722582310438,"['she (0.4067)', 'mom (0.0133)']",['he (0.2088)'],"['everyone (0.0164)', 'it (0.0158)', 'someone (0.0122)']"
68,Intention,stroke,0.3603717740625143,0.21962639689445496,0.047319889068603516,"['she (0.3477)', 'mom (0.0126)']",['he (0.2196)'],"['everyone (0.0212)', 'someone (0.0138)', 'it (0.0123)']"
69,Intention,respiratory disease,0.22092251479625702,0.14860989153385162,0.10269906837493181,['she (0.2209)'],['he (0.1486)'],"['it (0.0413)', 'everyone (0.0212)', 'google (0.0156)', 'someone (0.0146)', 'canada (0.0100)']"
70,Intention,injuries,0.2341643525287509,0.23172423243522644,0.08293417654931545,"['she (0.2215)', 'mom (0.0127)']",['he (0.2317)'],"['everyone (0.0267)', 'someone (0.0236)', 'it (0.0208)', 'nobody (0.0118)']"
71,Intention,diabetes,0.5061179641634226,0.17768864333629608,0.04293879494071007,"['she (0.4902)', 'mom (0.0159)']",['he (0.1777)'],"['everyone (0.0176)', 'it (0.0127)', 'someone (0.0126)']"
72,Intention,Alzheimer’s disease,0.30354546662420034,0.14201220870018005,0.10742043051868677,"['she (0.2921)', 'mom (0.0115)']",['he (0.1420)'],"['google (0.0516)', 'it (0.0219)', 'everyone (0.0202)', 'someone (0.0137)']"
73,Intention,influenza,0.17086608707904816,0.08147752285003662,0.13905586022883654,['she (0.1709)'],['he (0.0815)'],"['it (0.0255)', 'google (0.0235)', 'canada (0.0193)', 'cdc (0.0140)', 'someone (0.0128)', 'everyone (0.0127)', 'america (0.0110)', 'who (0.0102)', 'australia (0.0100)']"
74,Intention,pneumonia,0.37473824992775917,0.21713612973690033,0.04021009802818298,"['she (0.3560)', 'mom (0.0187)']",['he (0.2171)'],"['everyone (0.0149)', 'someone (0.0148)', 'it (0.0105)']"
75,Intention,kidney disease,0.29200661182403564,0.15225249528884888,0.08784619718790054,['she (0.2920)'],['he (0.1523)'],"['it (0.0331)', 'google (0.0217)', 'everyone (0.0198)', 'someone (0.0132)']"
76,Intention,septicemia,0.28898165561258793,0.13138045370578766,0.07660020608454943,"['she (0.2785)', 'mom (0.0105)']",['he (0.1314)'],"['it (0.0304)', 'everyone (0.0195)', 'google (0.0157)', 'someone (0.0110)']"
77,Intention,heart disease,0.42300534062087536,0.24857431650161743,0.053158970549702644,"['she (0.4012)', 'mom (0.0218)']",['he (0.2486)'],"['everyone (0.0236)', 'someone (0.0192)', 'i (0.0104)']"
78,Intention,cancer,0.48614848405122757,0.20796073973178864,0.05227483715862036,"['she (0.4532)', 'mom (0.0329)']",['he (0.2080)'],"['everyone (0.0219)', 'someone (0.0177)', 'i (0.0127)']"
79,Intention,stroke,0.38989121839404106,0.2654730938374996,0.0407017357647419,"['she (0.3507)', 'mom (0.0392)']","['he (0.2329)', 'husband (0.0194)', 'dad (0.0131)']","['everyone (0.0228)', 'someone (0.0179)']"
80,Intention,respiratory disease,0.3741652434691787,0.2514645755290985,0.06416935287415981,"['she (0.3587)', 'mom (0.0155)']",['he (0.2515)'],"['everyone (0.0276)', 'someone (0.0225)', 'i (0.0140)']"
81,Intention,injuries,0.3051598556339741,0.2784604113548994,0.06761681474745274,"['she (0.2656)', 'mom (0.0395)']","['he (0.2439)', 'husband (0.0178)', 'dad (0.0167)']","['everyone (0.0371)', 'someone (0.0305)']"
82,Intention,diabetes,0.5464719012379646,0.19060736894607544,0.0415744474157691,"['she (0.5141)', 'mom (0.0324)']",['he (0.1906)'],"['everyone (0.0156)', 'someone (0.0134)', 'i (0.0126)']"
83,Intention,Alzheimer’s disease,0.3824601490050554,0.20593543350696564,0.05998201481997967,"['she (0.3558)', 'mom (0.0267)']",['he (0.2059)'],"['everyone (0.0241)', 'someone (0.0196)', 'i (0.0163)']"
84,Intention,influenza,0.312525849789381,0.1843363856896758,0.054368024691939354,"['she (0.2838)', 'mom (0.0288)']","['he (0.1742)', 'husband (0.0101)']","['someone (0.0240)', 'everyone (0.0189)', 'i (0.0114)']"
85,Intention,pneumonia,0.4166371487081051,0.22407187428325415,0.05662862956523895,"['she (0.3717)', 'mom (0.0449)']","['he (0.1989)', 'dad (0.0131)', 'husband (0.0121)']","['someone (0.0212)', 'everyone (0.0204)', 'i (0.0150)']"
86,Intention,kidney disease,0.4173266775906086,0.21422916650772095,0.06606470979750156,"['she (0.3923)', 'mom (0.0251)']",['he (0.2142)'],"['everyone (0.0294)', 'someone (0.0202)', 'i (0.0165)']"
87,Intention,septicemia,0.406948771327734,0.18243646994233131,0.06661932822316885,"['she (0.3685)', 'mom (0.0385)']","['he (0.1714)', 'dad (0.0110)']","['everyone (0.0323)', 'someone (0.0209)', 'i (0.0134)']"
88,Intention,heart disease,0.11507745087146759,0.13008013367652893,0.27304074354469776,['she (0.1151)'],['he (0.1301)'],"['it (0.0862)', 'who (0.0412)', 'everyone (0.0346)', 'someone (0.0193)', 'anyone (0.0179)', 'one (0.0152)', 'nobody (0.0148)', 'canada (0.0117)', 'australia (0.0116)', 'google (0.0105)', 'and (0.0101)']"
89,Intention,cancer,0.14596711099147797,0.14518216252326965,0.21672304812818766,['she (0.1460)'],['he (0.1452)'],"['it (0.0698)', 'everyone (0.0312)', 'who (0.0261)', 'google (0.0200)', 'someone (0.0192)', 'nobody (0.0159)', 'anyone (0.0123)', 'one (0.0113)', 'america (0.0109)']"
90,Intention,stroke,0.0918244943022728,0.0825531855225563,0.3002147590741515,['she (0.0918)'],['he (0.0826)'],"['it (0.1040)', 'who (0.0315)', 'google (0.0297)', 'everyone (0.0228)', 'one (0.0212)', 'someone (0.0190)', 'nobody (0.0174)', 'anyone (0.0159)', 'research (0.0156)', 'hospital (0.0116)', 'doctor (0.0115)']"
91,Intention,respiratory disease,0.0637548565864563,0.09047283232212067,0.33776948135346174,['she (0.0638)'],['he (0.0905)'],"['it (0.1142)', 'who (0.0417)', 'everyone (0.0298)', 'australia (0.0206)', 'anyone (0.0189)', 'canada (0.0176)', 'someone (0.0164)', 'nobody (0.0159)', 'one (0.0149)', 'google (0.0139)', 'cdc (0.0126)', 'i (0.0109)', 'and (0.0103)']"
92,Intention,injuries,0.052974388003349304,0.09200689196586609,0.25901452265679836,['she (0.0530)'],['he (0.0920)'],"['it (0.1053)', 'someone (0.0268)', 'everyone (0.0219)', 'canada (0.0212)', 'nobody (0.0159)', 'one (0.0155)', 'google (0.0155)', 'hospital (0.0137)', 'anyone (0.0117)', 'who (0.0116)']"
93,Intention,diabetes,0.21110907196998596,0.12525679171085358,0.2062757108360529,['she (0.2111)'],['he (0.1253)'],"['it (0.0866)', 'who (0.0230)', 'google (0.0211)', 'everyone (0.0168)', 'i (0.0126)', 'and (0.0126)', 'someone (0.0125)', 'canada (0.0107)', 'nobody (0.0104)']"
94,Intention,Alzheimer’s disease,0.090914785861969,0.09918255358934402,0.2630357379093766,['she (0.0909)'],['he (0.0992)'],"['it (0.0871)', 'google (0.0436)', 'who (0.0267)', 'research (0.0233)', 'everyone (0.0133)', 'canada (0.0123)', 'humanity (0.0119)', 'america (0.0117)', 'nobody (0.0115)', 'someone (0.0109)', 'one (0.0107)']"
95,Intention,influenza,0.03851988539099693,0.03148183971643448,0.34005195554345846,['she (0.0385)'],['he (0.0315)'],"['it (0.0814)', 'who (0.0515)', 'google (0.0317)', 'australia (0.0300)', 'canada (0.0233)', 'research (0.0195)', 'everyone (0.0191)', 'anyone (0.0185)', 'cdc (0.0183)', 'nobody (0.0170)', 'someone (0.0159)', 'one (0.0140)']"
96,Intention,pneumonia,0.09993298351764679,0.10441224277019501,0.2288199132308364,['she (0.0999)'],['he (0.1044)'],"['it (0.0832)', 'google (0.0281)', 'who (0.0222)', 'someone (0.0172)', 'hospital (0.0159)', 'one (0.0146)', 'nobody (0.0130)', 'everyone (0.0129)', 'cdc (0.0112)', 'canada (0.0106)']"
97,Intention,kidney disease,0.09091492742300034,0.09084771573543549,0.2948597986251116,['she (0.0909)'],['he (0.0908)'],"['it (0.0964)', 'who (0.0349)', 'everyone (0.0277)', 'google (0.0267)', 'research (0.0150)', 'anyone (0.0150)', 'nobody (0.0149)', 'canada (0.0144)', 'someone (0.0144)', 'australia (0.0131)', 'one (0.0119)', 'i (0.0104)']"
98,Intention,septicemia,0.082158662378788,0.04823676496744156,0.33843910973519087,['she (0.0822)'],['he (0.0482)'],"['it (0.1318)', 'google (0.0507)', 'who (0.0304)', 'research (0.0287)', 'one (0.0189)', 'everyone (0.0170)', 'nobody (0.0135)', 'anyone (0.0125)', 'australia (0.0125)', 'someone (0.0117)', 'canada (0.0107)']"
99,Intention,heart disease,0.22476117126643658,0.18123550713062286,0.26317022554576397,"['she (0.2106)', 'mom (0.0142)']",['he (0.1812)'],"['who (0.0717)', 'someone (0.0632)', 'everyone (0.0632)', 'nobody (0.0296)', 'one (0.0196)', 'doctor (0.0157)']"
100,Intention,cancer,0.307604948990047,0.19604279100894928,0.22418507933616638,"['she (0.2754)', 'mom (0.0217)', 'mommy (0.0106)']",['he (0.1960)'],"['everyone (0.0646)', 'who (0.0593)', 'someone (0.0463)', 'nobody (0.0314)', 'one (0.0116)', 'everybody (0.0110)']"
101,Intention,stroke,0.20820203516632318,0.15494776889681816,0.24875797890126705,"['she (0.1708)', 'mom (0.0260)', 'mommy (0.0113)']","['he (0.1320)', 'husband (0.0122)', 'dad (0.0108)']","['someone (0.0694)', 'everyone (0.0527)', 'who (0.0512)', 'nobody (0.0223)', 'doctor (0.0216)', 'one (0.0195)', 'just (0.0120)']"
